0ad,com.play0ad.zeroad
katomic,org.kde.katomic
kblackbox,org.kde.kblackbox
kblocks,org.kde.kblocks
kbreakout,org.kde.kbreakout
kbruch,org.kde.kbrunch
kcalc,org.kde.kcalc
kcolorchooser,org.kde.kcolorchooser
kdenlive,org.kde.kdenlive
kdevelop,org.kde.kdevelop
kdf,org.kde.kdf
kdiamond,org.kde.kdiamond
keepassxc,org.keepassxc.KeePassXC
kfourinline,org.kde.kfourinline
kgeography,org.kde.kgeography
kgoldrunner,org.kde.kgoldrunner
kigo,org.kde.kigo
kig,org.kde.kig
killbots,org.kde.killbots
kiriki,org.kde.kiriki
kiten,org.kde.kiten
kjumpingcube,org.kde.kjumpingcube
klettres,org.kde.klettres
klickety,org.kde.klickety
klines,org.kde.klines
kmag,org.kde.kmag
kmahjongg,org.kde.kmahjongg
kmines,org.kde.kmines
kmousetool,kde.org.kmousetool
kmplot,org.kde.kmplot
knavalbattle,org.kde.knavalbattle
knetwalk,org.kde.knetwalk
kollision,org.kde.kollision
kolourpaint,org.kde.kolourpaint
kompare,org.kde.kompare
konquest,org.kde.konquest
konversation,org.kde.konversation
krdc,org.kde.krdc
kreversi,org.kde.kreversi
krita,org.kde.krita
kruler,org.kde.kruler
ksirk,org.kde.ksirk
kspaceduel,org.kde.kspaceduel
ksquares,org.kde.ksquares
kstars,org.kde.ktouch
ksudoku,org.kde.ksudoku
kteatime,org.kde.kteatime
ktimer,org.kde.ktimer
ktouch,org.kde.ktouch
ktuberling,org.kde.ktuberling
kturtle,org.kde.kturtle
kubrick,org.kde.kubrick
kwave,org.kde.kwave
kwordquiz,org.kde.kwordquiz
labplot,org.kde.labplot
lbry,io.lbry.lbry-app
libreoffice,org.libreoffice.LibreOffice
librepcb,org.librepcb.LibrePCB
liferea,net.sourceforge.liferea
love2d,org.love2d.love2d
manuskript,ch.theologeek.Manuskript
mattermost-desktop,com.mattermost.Desktop
mindustry,com.github.Anuken.Mindustry
minuet,org.kde.minuet
mumble,info.mumble.Mumble
natron,fr.natron.Natron
neochat,org.kde.neochat
netbeans,org.apache.netbeans
newsflash,com.gitlab.newsflash
notepad-plus-plus,com.github.dail8859.NotepadNext
notepadqq,com.notepadqq.Notepadqq
obsidian,md.obsidian.Obsidian
obs-studio,com.obsproject.Studio
okteta,org.kde.okteta
okular,org.kde.okular
onlyoffice-desktopeditors,org.onlyoffice
openra,net.openra.OpenRA
openscad,org.openscad.OpenSCAD
openspades,jp.yvt.OpenSpades
palapeli,org.kde.palapeli
parley,org.kde.parley
pdfmixtool,eu.scarpetta.PDFMixTool
peruse,org.kde.peruse
phpstorm,com.jetbrains.PhpStorm
picard,org.musicbrainz.Picard
pick-colour-picker,org.kryogenix.Pick
picmi,org.kde.picmi
pinta,com.github.PintaProject.Pinta
poedit,net.poedit.Poedit
postman,com.getpostman.Postman
prusa-slicer,com.prusa3d.PrusaSlicer
pycharm-community,com.jetbrains.PyCharm-Community
pycharm-professional,com.jetbrains.PyCharm-Professional
